"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0xaff8e91a16b80f9c03cc9958a7936947fecb9daed3db5dd748b95f400e737ebf","44772112","1733897261","2024-12-11 06:07:41","0x9617a91daffe6c79a2a702fa48bb62ae856f1a44","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","1,011,918.079088624066274117","N/A","0xaa217f7bab90100419b99c027adcf5f0a005c192","BEP-20: Invistech","INVT"
"0x371931a4223ca3afe43098c8569fe1a2649caa848324adcf32993e6370b82d8e","44772154","1733897387","2024-12-11 06:09:47","0xda8e0fdd998c51d9b59ae543d713b7ec33c28f77","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","98,900,000","N/A","0xaa217f7bab90100419b99c027adcf5f0a005c192","BEP-20: Invistech","INVT"
"0x09d8296fbbf8e72068ba420fe8ce5d242f0c604dc8af74fcc9c0237e502bf6bf","44779707","1733920047","2024-12-11 12:27:27","0x9617a91daffe6c79a2a702fa48bb62ae856f1a44","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","30","$30.03","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x09d8296fbbf8e72068ba420fe8ce5d242f0c604dc8af74fcc9c0237e502bf6bf","44779707","1733920047","2024-12-11 12:27:27","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","3.15","$3.15","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x09d8296fbbf8e72068ba420fe8ce5d242f0c604dc8af74fcc9c0237e502bf6bf","44779707","1733920047","2024-12-11 12:27:27","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","3.15","N/A","0xaa217f7bab90100419b99c027adcf5f0a005c192","BEP-20: Invistech","INVT"
"0x09d8296fbbf8e72068ba420fe8ce5d242f0c604dc8af74fcc9c0237e502bf6bf","44779707","1733920047","2024-12-11 12:27:27","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x0c4a74fd3a821bbf351e6f9b4bd120fee50e4b03","1.35","$1.35","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x09d8296fbbf8e72068ba420fe8ce5d242f0c604dc8af74fcc9c0237e502bf6bf","44779707","1733920047","2024-12-11 12:27:27","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","17.85","$17.87","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x09d8296fbbf8e72068ba420fe8ce5d242f0c604dc8af74fcc9c0237e502bf6bf","44779707","1733920047","2024-12-11 12:27:27","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","17.85","N/A","0xaa217f7bab90100419b99c027adcf5f0a005c192","BEP-20: Invistech","INVT"
"0x09d8296fbbf8e72068ba420fe8ce5d242f0c604dc8af74fcc9c0237e502bf6bf","44779707","1733920047","2024-12-11 12:27:27","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x0c4a74fd3a821bbf351e6f9b4bd120fee50e4b03","7.65","$7.66","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xc990168f499358a6175c85c0b7b5a9b7c428348fcae1fc839b87f74a4b7668a5","44782294","1733927808","2024-12-11 14:36:48","0xda8e0fdd998c51d9b59ae543d713b7ec33c28f77","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","300","$300.31","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xc990168f499358a6175c85c0b7b5a9b7c428348fcae1fc839b87f74a4b7668a5","44782294","1733927808","2024-12-11 14:36:48","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x9617a91daffe6c79a2a702fa48bb62ae856f1a44","30","$30.03","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xc990168f499358a6175c85c0b7b5a9b7c428348fcae1fc839b87f74a4b7668a5","44782294","1733927808","2024-12-11 14:36:48","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","28.35","$28.38","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xc990168f499358a6175c85c0b7b5a9b7c428348fcae1fc839b87f74a4b7668a5","44782294","1733927808","2024-12-11 14:36:48","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","28.35","N/A","0xaa217f7bab90100419b99c027adcf5f0a005c192","BEP-20: Invistech","INVT"
"0xc990168f499358a6175c85c0b7b5a9b7c428348fcae1fc839b87f74a4b7668a5","44782294","1733927808","2024-12-11 14:36:48","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x0c4a74fd3a821bbf351e6f9b4bd120fee50e4b03","12.15","$12.16","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xc990168f499358a6175c85c0b7b5a9b7c428348fcae1fc839b87f74a4b7668a5","44782294","1733927808","2024-12-11 14:36:48","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","160.65","$160.82","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xc990168f499358a6175c85c0b7b5a9b7c428348fcae1fc839b87f74a4b7668a5","44782294","1733927808","2024-12-11 14:36:48","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","160.65","N/A","0xaa217f7bab90100419b99c027adcf5f0a005c192","BEP-20: Invistech","INVT"
"0xc990168f499358a6175c85c0b7b5a9b7c428348fcae1fc839b87f74a4b7668a5","44782294","1733927808","2024-12-11 14:36:48","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x0c4a74fd3a821bbf351e6f9b4bd120fee50e4b03","68.85","$68.92","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xd86672fe5bae02f05369da6fabb4f09f5d0e49aa799a95e30c36414b45ba8a94","44782405","1733928141","2024-12-11 14:42:21","0xf9f5603c9eb6aedfb51e811e5644db727503a51a","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","300","$300.31","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xd86672fe5bae02f05369da6fabb4f09f5d0e49aa799a95e30c36414b45ba8a94","44782405","1733928141","2024-12-11 14:42:21","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0xda8e0fdd998c51d9b59ae543d713b7ec33c28f77","30","$30.03","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xd86672fe5bae02f05369da6fabb4f09f5d0e49aa799a95e30c36414b45ba8a94","44782405","1733928141","2024-12-11 14:42:21","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x9617a91daffe6c79a2a702fa48bb62ae856f1a44","3","$3.00","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xd86672fe5bae02f05369da6fabb4f09f5d0e49aa799a95e30c36414b45ba8a94","44782405","1733928141","2024-12-11 14:42:21","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","28.035","$28.06","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xd86672fe5bae02f05369da6fabb4f09f5d0e49aa799a95e30c36414b45ba8a94","44782405","1733928141","2024-12-11 14:42:21","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","28.035","N/A","0xaa217f7bab90100419b99c027adcf5f0a005c192","BEP-20: Invistech","INVT"
"0xd86672fe5bae02f05369da6fabb4f09f5d0e49aa799a95e30c36414b45ba8a94","44782405","1733928141","2024-12-11 14:42:21","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x0c4a74fd3a821bbf351e6f9b4bd120fee50e4b03","12.015","$12.03","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xd86672fe5bae02f05369da6fabb4f09f5d0e49aa799a95e30c36414b45ba8a94","44782405","1733928141","2024-12-11 14:42:21","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","158.865","$159.03","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xd86672fe5bae02f05369da6fabb4f09f5d0e49aa799a95e30c36414b45ba8a94","44782405","1733928141","2024-12-11 14:42:21","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","158.865","N/A","0xaa217f7bab90100419b99c027adcf5f0a005c192","BEP-20: Invistech","INVT"
"0xd86672fe5bae02f05369da6fabb4f09f5d0e49aa799a95e30c36414b45ba8a94","44782405","1733928141","2024-12-11 14:42:21","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x0c4a74fd3a821bbf351e6f9b4bd120fee50e4b03","68.085","$68.16","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xea95dbdd21187146a138daf88237188fcc97a7f6d1a2b7cffe1963ef909c3818","44795260","1733966709","2024-12-12 01:25:09","0x4e31d15119fbeb1b19e2d74837de6d13b18c09f6","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","90","$89.89","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xea95dbdd21187146a138daf88237188fcc97a7f6d1a2b7cffe1963ef909c3818","44795260","1733966709","2024-12-12 01:25:09","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0xf9f5603c9eb6aedfb51e811e5644db727503a51a","9","$8.99","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xea95dbdd21187146a138daf88237188fcc97a7f6d1a2b7cffe1963ef909c3818","44795260","1733966709","2024-12-12 01:25:09","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0xda8e0fdd998c51d9b59ae543d713b7ec33c28f77","0.9","$0.90","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xea95dbdd21187146a138daf88237188fcc97a7f6d1a2b7cffe1963ef909c3818","44795260","1733966709","2024-12-12 01:25:09","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x9617a91daffe6c79a2a702fa48bb62ae856f1a44","0.9","$0.90","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xea95dbdd21187146a138daf88237188fcc97a7f6d1a2b7cffe1963ef909c3818","44795260","1733966709","2024-12-12 01:25:09","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","8.316","$8.31","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xea95dbdd21187146a138daf88237188fcc97a7f6d1a2b7cffe1963ef909c3818","44795260","1733966709","2024-12-12 01:25:09","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","8.316","N/A","0xaa217f7bab90100419b99c027adcf5f0a005c192","BEP-20: Invistech","INVT"
"0xea95dbdd21187146a138daf88237188fcc97a7f6d1a2b7cffe1963ef909c3818","44795260","1733966709","2024-12-12 01:25:09","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x0c4a74fd3a821bbf351e6f9b4bd120fee50e4b03","3.564","$3.56","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xea95dbdd21187146a138daf88237188fcc97a7f6d1a2b7cffe1963ef909c3818","44795260","1733966709","2024-12-12 01:25:09","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","47.124","$47.07","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xea95dbdd21187146a138daf88237188fcc97a7f6d1a2b7cffe1963ef909c3818","44795260","1733966709","2024-12-12 01:25:09","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","47.124","N/A","0xaa217f7bab90100419b99c027adcf5f0a005c192","BEP-20: Invistech","INVT"
"0xea95dbdd21187146a138daf88237188fcc97a7f6d1a2b7cffe1963ef909c3818","44795260","1733966709","2024-12-12 01:25:09","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x0c4a74fd3a821bbf351e6f9b4bd120fee50e4b03","20.196","$20.17","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xd32078e8427ce360cf1e22a9ceb0d9a747dca05fb3dbf3241098d76e6c56930a","44795423","1733967198","2024-12-12 01:33:18","0x9d626b83e04cfaf2999cc0529279b2eac9dd5c6c","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","90","$89.89","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xd32078e8427ce360cf1e22a9ceb0d9a747dca05fb3dbf3241098d76e6c56930a","44795423","1733967198","2024-12-12 01:33:18","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4e31d15119fbeb1b19e2d74837de6d13b18c09f6","9","$8.99","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xd32078e8427ce360cf1e22a9ceb0d9a747dca05fb3dbf3241098d76e6c56930a","44795423","1733967198","2024-12-12 01:33:18","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0xf9f5603c9eb6aedfb51e811e5644db727503a51a","0.9","$0.90","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xd32078e8427ce360cf1e22a9ceb0d9a747dca05fb3dbf3241098d76e6c56930a","44795423","1733967198","2024-12-12 01:33:18","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0xda8e0fdd998c51d9b59ae543d713b7ec33c28f77","0.9","$0.90","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xd32078e8427ce360cf1e22a9ceb0d9a747dca05fb3dbf3241098d76e6c56930a","44795423","1733967198","2024-12-12 01:33:18","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x9617a91daffe6c79a2a702fa48bb62ae856f1a44","0.9","$0.90","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xd32078e8427ce360cf1e22a9ceb0d9a747dca05fb3dbf3241098d76e6c56930a","44795423","1733967198","2024-12-12 01:33:18","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","8.2215","$8.21","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xd32078e8427ce360cf1e22a9ceb0d9a747dca05fb3dbf3241098d76e6c56930a","44795423","1733967198","2024-12-12 01:33:18","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","8.2215","N/A","0xaa217f7bab90100419b99c027adcf5f0a005c192","BEP-20: Invistech","INVT"
"0xd32078e8427ce360cf1e22a9ceb0d9a747dca05fb3dbf3241098d76e6c56930a","44795423","1733967198","2024-12-12 01:33:18","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x0c4a74fd3a821bbf351e6f9b4bd120fee50e4b03","3.5235","$3.52","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xd32078e8427ce360cf1e22a9ceb0d9a747dca05fb3dbf3241098d76e6c56930a","44795423","1733967198","2024-12-12 01:33:18","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","46.5885","$46.53","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xd32078e8427ce360cf1e22a9ceb0d9a747dca05fb3dbf3241098d76e6c56930a","44795423","1733967198","2024-12-12 01:33:18","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","46.5885","N/A","0xaa217f7bab90100419b99c027adcf5f0a005c192","BEP-20: Invistech","INVT"
"0xd32078e8427ce360cf1e22a9ceb0d9a747dca05fb3dbf3241098d76e6c56930a","44795423","1733967198","2024-12-12 01:33:18","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x0c4a74fd3a821bbf351e6f9b4bd120fee50e4b03","19.9665","$19.94","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x0604eebae5ea09d1444a45f0baaa8d7cfd320466e3a521d53614b34918629067","44795572","1733967645","2024-12-12 01:40:45","0x55abb2cc27c08a0dbb2e19f87cc3b490f6e78b77","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","90","$89.89","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x0604eebae5ea09d1444a45f0baaa8d7cfd320466e3a521d53614b34918629067","44795572","1733967645","2024-12-12 01:40:45","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x9d626b83e04cfaf2999cc0529279b2eac9dd5c6c","9","$8.99","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x0604eebae5ea09d1444a45f0baaa8d7cfd320466e3a521d53614b34918629067","44795572","1733967645","2024-12-12 01:40:45","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4e31d15119fbeb1b19e2d74837de6d13b18c09f6","0.9","$0.90","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x0604eebae5ea09d1444a45f0baaa8d7cfd320466e3a521d53614b34918629067","44795572","1733967645","2024-12-12 01:40:45","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0xf9f5603c9eb6aedfb51e811e5644db727503a51a","0.9","$0.90","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x0604eebae5ea09d1444a45f0baaa8d7cfd320466e3a521d53614b34918629067","44795572","1733967645","2024-12-12 01:40:45","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0xda8e0fdd998c51d9b59ae543d713b7ec33c28f77","0.9","$0.90","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x0604eebae5ea09d1444a45f0baaa8d7cfd320466e3a521d53614b34918629067","44795572","1733967645","2024-12-12 01:40:45","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x9617a91daffe6c79a2a702fa48bb62ae856f1a44","0.9","$0.90","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x0604eebae5ea09d1444a45f0baaa8d7cfd320466e3a521d53614b34918629067","44795572","1733967645","2024-12-12 01:40:45","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","8.127","$8.12","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x0604eebae5ea09d1444a45f0baaa8d7cfd320466e3a521d53614b34918629067","44795572","1733967645","2024-12-12 01:40:45","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","8.127","N/A","0xaa217f7bab90100419b99c027adcf5f0a005c192","BEP-20: Invistech","INVT"
"0x0604eebae5ea09d1444a45f0baaa8d7cfd320466e3a521d53614b34918629067","44795572","1733967645","2024-12-12 01:40:45","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x0c4a74fd3a821bbf351e6f9b4bd120fee50e4b03","3.483","$3.48","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x0604eebae5ea09d1444a45f0baaa8d7cfd320466e3a521d53614b34918629067","44795572","1733967645","2024-12-12 01:40:45","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","46.053","$46.00","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x0604eebae5ea09d1444a45f0baaa8d7cfd320466e3a521d53614b34918629067","44795572","1733967645","2024-12-12 01:40:45","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","46.053","N/A","0xaa217f7bab90100419b99c027adcf5f0a005c192","BEP-20: Invistech","INVT"
"0x0604eebae5ea09d1444a45f0baaa8d7cfd320466e3a521d53614b34918629067","44795572","1733967645","2024-12-12 01:40:45","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x0c4a74fd3a821bbf351e6f9b4bd120fee50e4b03","19.737","$19.71","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x9a5abf5c508237dc959a6c7b4c1ea6b0fefd0c8628e5df0530ce75154c204108","44795670","1733967939","2024-12-12 01:45:39","0xaf61983bdc8875d1a04ecb4fb5850443d56ada59","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","90","$89.89","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x9a5abf5c508237dc959a6c7b4c1ea6b0fefd0c8628e5df0530ce75154c204108","44795670","1733967939","2024-12-12 01:45:39","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x55abb2cc27c08a0dbb2e19f87cc3b490f6e78b77","9","$8.99","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x9a5abf5c508237dc959a6c7b4c1ea6b0fefd0c8628e5df0530ce75154c204108","44795670","1733967939","2024-12-12 01:45:39","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x9d626b83e04cfaf2999cc0529279b2eac9dd5c6c","0.9","$0.90","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x9a5abf5c508237dc959a6c7b4c1ea6b0fefd0c8628e5df0530ce75154c204108","44795670","1733967939","2024-12-12 01:45:39","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4e31d15119fbeb1b19e2d74837de6d13b18c09f6","0.9","$0.90","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x9a5abf5c508237dc959a6c7b4c1ea6b0fefd0c8628e5df0530ce75154c204108","44795670","1733967939","2024-12-12 01:45:39","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0xf9f5603c9eb6aedfb51e811e5644db727503a51a","0.9","$0.90","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x9a5abf5c508237dc959a6c7b4c1ea6b0fefd0c8628e5df0530ce75154c204108","44795670","1733967939","2024-12-12 01:45:39","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0xda8e0fdd998c51d9b59ae543d713b7ec33c28f77","0.9","$0.90","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x9a5abf5c508237dc959a6c7b4c1ea6b0fefd0c8628e5df0530ce75154c204108","44795670","1733967939","2024-12-12 01:45:39","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x9617a91daffe6c79a2a702fa48bb62ae856f1a44","0.9","$0.90","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x9a5abf5c508237dc959a6c7b4c1ea6b0fefd0c8628e5df0530ce75154c204108","44795670","1733967939","2024-12-12 01:45:39","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","8.0325","$8.02","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x9a5abf5c508237dc959a6c7b4c1ea6b0fefd0c8628e5df0530ce75154c204108","44795670","1733967939","2024-12-12 01:45:39","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","8.0325","N/A","0xaa217f7bab90100419b99c027adcf5f0a005c192","BEP-20: Invistech","INVT"
"0x9a5abf5c508237dc959a6c7b4c1ea6b0fefd0c8628e5df0530ce75154c204108","44795670","1733967939","2024-12-12 01:45:39","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x0c4a74fd3a821bbf351e6f9b4bd120fee50e4b03","3.4425","$3.44","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x9a5abf5c508237dc959a6c7b4c1ea6b0fefd0c8628e5df0530ce75154c204108","44795670","1733967939","2024-12-12 01:45:39","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","45.5175","$45.46","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x9a5abf5c508237dc959a6c7b4c1ea6b0fefd0c8628e5df0530ce75154c204108","44795670","1733967939","2024-12-12 01:45:39","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x4c77e435b6056c46baf1ccb3e21f7ece8f8da16e","45.5175","N/A","0xaa217f7bab90100419b99c027adcf5f0a005c192","BEP-20: Invistech","INVT"
"0x9a5abf5c508237dc959a6c7b4c1ea6b0fefd0c8628e5df0530ce75154c204108","44795670","1733967939","2024-12-12 01:45:39","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x0c4a74fd3a821bbf351e6f9b4bd120fee50e4b03","19.5075","$19.48","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x0cf299603a98a17828085b7fa384dcb6bf066702adf5dba16814633f3cbf2d30","44795845","1733968464","2024-12-12 01:54:24","0xa808f0523bb0b8e8d183989cb3de42cc1ef15f5b","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","300","$299.64","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x0cf299603a98a17828085b7fa384dcb6bf066702adf5dba16814633f3cbf2d30","44795845","1733968464","2024-12-12 01:54:24","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0xaf61983bdc8875d1a04ecb4fb5850443d56ada59","30","$29.96","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x0cf299603a98a17828085b7fa384dcb6bf066702adf5dba16814633f3cbf2d30","44795845","1733968464","2024-12-12 01:54:24","0x9cc5a6da4ea24f5ddd89db1acca9792de3d8bce7","0x55abb2cc27c08a0dbb2e19f87cc3b490f6e78b77","3","$3.00","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
